EmployeeID,Age,Gender,JobRole,YearsAtCompany,Salary,JobSatisfaction,PerformanceScore,WorkLifeBalance,Left
1,50,Female,Marketing Analyst,12,117833,5,1,4,No
2,36,Female,Product Manager,11,98810,2,3,3,No
3,29,Male,Business Intelligence Analyst,7,107323,4,5,1,No
4,42,Male,Accountant ,15,47920,2,1,3,No
5,40,Female,HR Specialist,7,55719,4,1,4,No
6,44,Male,Project Manager,22,77816,2,4,3,No
7,32,Female,Software Developer,14,94605,2,4,3,No
8,32,Male,Business Intelligence Analyst,22,92604,2,3,5,No
9,45,Female,Business Analyst,16,92045,5,5,1,No
10,57,Male,Quality Assurance Engineer,12,49927,5,5,3,No
11,45,Male,Operations Manager,26,117978,3,2,5,No
12,24,Female,Sales Manager,19,47131,2,3,2,No
13,43,Male,Customer Support Specialist,8,115372,4,3,5,No
14,23,Male,Marketing Analyst,24,80211,2,2,4,No
15,45,Male,UX/UI Designer,23,73548,3,1,4,No
16,51,Male,Sales Manager,26,70296,3,4,4,No
17,59,Male,UX/UI Designer,17,119309,2,1,1,No
18,23,Male,Financial Analyst,15,50662,4,4,2,Yes
19,42,Female,Marketing Analyst,9,98271,3,5,3,No
20,54,Male,Business Analyst,11,37276,5,1,2,No
21,33,Male,Software Developer,2,70898,1,5,1,Yes
22,43,Female,Quality Assurance Engineer,9,98942,5,4,1,No
23,46,Male,Sales Manager,9,56901,1,4,1,No
24,48,Male,Software Engineer,28,94679,4,4,3,No
25,49,Male,Network Engineer,17,57597,2,2,4,Yes
26,37,Male,Data Scientist,12,36025,5,4,3,No
27,36,Male,Quality Assurance Engineer,5,31362,2,4,3,No
28,24,Female,Network Engineer,20,43925,1,5,1,No
29,58,Male,Data Engineer,13,119244,1,5,2,No
30,28,Male,UX/UI Designer,23,38277,4,4,4,No
31,42,Male,Business Intelligence Analyst,6,30356,2,3,1,No
32,30,Male,Sales Manager,12,116050,3,4,2,No
33,39,Male,HR Specialist,14,47241,3,1,3,No
34,25,Male,Business Analyst,9,40955,3,2,5,No
35,46,Male,Data Scientist,11,39770,5,4,4,No
36,35,Male,Project Manager,1,46576,4,1,5,No
37,30,Female,Operations Manager,4,114453,5,3,3,No
38,47,Male,Compliance Analysts,20,105557,5,5,4,No
39,23,Female,Compliance Analysts,2,31349,4,2,5,No
40,41,Male,Data Scientist,29,45433,1,5,2,No
41,49,Male,Sales Manager,8,37160,1,5,4,No
42,28,Male,Software Engineer,5,57170,5,3,3,No
43,29,Female,Software Engineer,2,107399,1,3,2,No
44,56,Male,Financial Analyst,27,104157,5,5,4,No
45,35,Male,Business Analyst,29,67170,2,4,4,No
46,38,Female,Software Developer,25,80519,3,1,5,No
47,57,Female,Network Engineer,7,78752,3,4,5,No
48,25,Male,Data Scientist,19,45561,3,2,5,No
49,23,Male,Software Engineer,21,99035,1,3,2,No
50,27,Male,UX/UI Designer,26,58511,3,4,5,No
51,25,Male,Data Scientist,27,36898,4,5,4,No
52,50,Male,Business Analyst,29,117134,5,2,1,No
53,39,Female,Software Developer,9,51666,4,1,1,No
54,47,Male,Business Intelligence Analyst,10,103611,5,4,1,Yes
55,55,Male,Customer Support Specialist,21,57539,4,4,2,No
56,31,Male,Software Developer,25,109864,1,4,3,No
57,57,Male,Compliance Analysts,14,108013,1,3,2,No
58,35,Male,Product Manager,3,97489,4,4,5,No
59,52,Male,Financial Analyst,12,90603,5,5,4,No
60,36,Male,Business Intelligence Analyst,27,116150,5,2,3,No
61,29,Female,Accountant ,8,115462,1,1,1,No
62,35,Male,Customer Support Specialist,7,61868,1,4,5,No
63,44,Male,Software Developer,20,48367,4,5,3,No
64,42,Male,Business Intelligence Analyst,27,87425,1,4,2,No
65,37,Female,Financial Analyst,1,42066,2,3,2,No
66,39,Female,Software Engineer,2,73575,3,2,1,No
67,45,Male,Data Scientist,12,42041,3,1,3,No
68,47,Male,Financial Analyst,27,53044,2,3,3,No
69,46,Male,Data Scientist,11,52957,2,2,4,No
70,50,Male,Operations Manager,23,93158,1,5,3,No
71,36,Female,Financial Analyst,6,42717,2,5,2,No
72,22,Male,Business Analyst,19,45218,5,3,4,No
73,46,Male,Marketing Analyst,10,51736,5,4,3,No
74,28,Male,Financial Analyst,3,79232,1,1,1,Yes
75,30,Male,Accountant ,29,99227,2,5,1,No
76,45,Female,Software Engineer,5,106891,2,3,3,No
77,22,Male,Sales Manager,28,72366,1,5,3,No
78,29,Male,Accountant ,11,95370,3,4,1,No
79,45,Male,UX/UI Designer,6,35155,3,1,1,No
80,32,Male,Customer Support Specialist,4,36315,5,3,3,No
81,38,Male,Data Scientist,6,78273,4,2,4,No
82,29,Male,UX/UI Designer,15,84556,2,1,3,No
83,56,Male,Compliance Analysts,12,59674,3,5,3,No
84,56,Female,Data Scientist,26,95694,3,3,3,No
85,54,Male,Software Developer,12,56777,3,2,3,No
86,26,Male,Business Analyst,3,101047,3,1,3,No
87,49,Female,Software Engineer,19,106011,1,3,1,No
88,28,Female,Business Analyst,9,91958,3,4,5,No
89,30,Female,Operations Manager,7,70545,4,5,4,No
90,29,Male,Product Manager,12,93088,5,1,5,No
91,33,Male,Operations Manager,10,90404,5,2,4,No
92,55,Male,Data Scientist,11,73632,1,5,2,No
93,54,Male,HR Specialist,4,34808,3,5,1,No
94,44,Female,Customer Support Specialist,27,116026,4,3,2,No
95,45,Male,Project Manager,19,37816,3,2,4,No
96,58,Female,HR Specialist,10,40732,2,5,5,No
97,56,Male,Quality Assurance Engineer,7,88044,3,1,3,No
98,43,Male,Product Manager,24,40227,2,2,1,No
99,48,Male,Network Engineer,25,60423,3,1,1,No
100,56,Male,Financial Analyst,22,73927,3,5,2,No
101,22,Female,Project Manager,23,79792,2,1,5,No
102,56,Male,UX/UI Designer,21,86261,5,5,2,No
103,58,Male,Sales Manager,10,109447,4,4,2,No
104,35,Female,Sales Manager,26,56646,5,3,3,Yes
105,24,Female,HR Specialist,19,91278,4,5,2,No
106,22,Female,Quality Assurance Engineer,17,111389,1,1,1,No
107,26,Male,Data Scientist,25,87915,5,3,1,No
108,47,Female,Business Analyst,29,44264,4,2,2,No
109,35,Female,Business Analyst,17,33307,1,4,4,No
110,48,Male,Project Manager,12,105050,4,3,3,Yes
111,30,Male,Software Developer,5,40939,1,4,5,No
112,36,Female,HR Specialist,13,80112,2,2,5,No
113,36,Female,Accountant ,29,117772,4,5,4,No
114,47,Female,Data Engineer,10,70947,2,4,1,No
115,34,Male,Data Engineer,22,117560,4,3,2,No
116,53,Male,Software Developer,6,35294,4,4,4,No
117,53,Male,Business Analyst,16,111709,5,2,3,No
118,25,Male,Software Engineer,15,46302,4,2,3,No
119,51,Male,Business Intelligence Analyst,13,54973,1,4,3,No
120,58,Male,Software Engineer,17,49536,1,1,3,No
121,44,Male,Data Scientist,20,48942,1,3,5,No
122,36,Male,Compliance Analysts,9,94981,4,4,2,No
123,50,Male,Business Analyst,6,86100,4,5,2,No
124,57,Male,Compliance Analysts,26,63974,2,2,2,No
125,34,Male,Project Manager,23,100109,5,1,4,No
126,53,Male,Software Developer,21,81811,5,4,1,No
127,28,Female,Sales Manager,17,40547,5,2,4,No
128,43,Male,Data Engineer,29,91009,1,4,3,Yes
129,49,Female,HR Specialist,10,101745,1,1,4,No
130,23,Female,Customer Support Specialist,4,48055,4,2,2,No
131,27,Male,Operations Manager,24,73629,3,1,1,No
132,49,Female,Software Developer,26,36587,2,3,3,No
133,49,Male,Product Manager,1,88412,3,2,2,No
134,41,Male,Quality Assurance Engineer,2,69301,2,3,4,No
135,51,Male,Financial Analyst,1,59167,2,1,2,No
136,32,Male,UX/UI Designer,19,106822,3,5,3,No
137,49,Male,HR Specialist,6,91423,2,1,4,No
138,46,Male,Business Analyst,1,46578,5,4,5,No
139,54,Male,Network Engineer,14,60083,1,1,5,No
140,22,Male,UX/UI Designer,5,53735,5,3,5,No
141,48,Male,Sales Manager,27,67786,1,4,3,No
142,34,Male,Quality Assurance Engineer,20,66728,3,4,4,No
143,24,Female,Software Engineer,5,86070,3,1,1,No
144,27,Male,Customer Support Specialist,1,86218,4,4,3,No
145,29,Male,Accountant ,11,68726,2,1,4,No
146,48,Male,Software Developer,16,35442,5,5,5,No
147,30,Male,Data Scientist,21,99568,3,4,5,No
148,58,Male,Data Engineer,12,82222,1,5,2,No
149,54,Female,Software Engineer,2,62211,5,4,3,No
150,45,Male,Software Engineer,7,86917,1,1,4,No
151,36,Female,Operations Manager,16,54047,3,2,2,No
152,53,Female,Software Developer,24,86048,5,3,5,No
153,53,Male,Software Developer,1,50906,4,4,5,No
154,45,Female,Quality Assurance Engineer,3,83413,5,3,4,No
155,33,Male,Data Engineer,10,105684,5,3,4,No
156,23,Female,Financial Analyst,18,37716,4,3,1,No
157,24,Male,Accountant ,3,108456,4,4,4,No
158,58,Male,Compliance Analysts,7,107542,4,2,1,Yes
159,38,Female,UX/UI Designer,27,83409,1,4,1,No
160,23,Male,Quality Assurance Engineer,16,37320,2,5,3,No
161,23,Female,Compliance Analysts,7,71715,1,1,3,No
162,49,Male,Product Manager,4,51930,3,1,3,No
163,44,Male,Business Intelligence Analyst,19,61849,5,3,1,No
164,58,Male,Network Engineer,19,101116,3,5,1,No
165,53,Female,Data Scientist,18,33837,5,3,5,No
166,54,Male,Marketing Analyst,9,37269,5,1,1,Yes
167,22,Male,Product Manager,2,67727,3,3,1,No
168,40,Male,Business Intelligence Analyst,18,115493,5,2,1,No
169,23,Female,Data Engineer,7,45890,5,1,2,No
170,47,Male,Software Developer,10,73320,5,2,1,No
171,53,Male,Project Manager,26,33342,2,4,3,No
